,menace-0,menace-0-sym,menace-100,menace-100-sym,menace-500,menace-500-sym,menace-1000,menace-1000-sym,menace-10000,menace-10000-sym,menace-50000,menace-50000-sym
menace-0,0.1244,0.1244,0.1205,0.1482,0.117,0.1529,0.1175,0.1588,0.1326,0.1944,0.1376,0.1868
menace-0-sym,0.1244,0.1244,0.1205,0.1482,0.117,0.1529,0.1175,0.1588,0.1326,0.1944,0.1376,0.1868
menace-100,0.1291,0.1291,0.1249,0.153,0.1201,0.1527,0.1194,0.1627,0.1338,0.204,0.1407,0.1964
menace-100-sym,0.1275,0.1275,0.12,0.155,0.1206,0.1642,0.1203,0.1708,0.1418,0.1915,0.132,0.1769
menace-500,0.1224,0.1224,0.1203,0.1416,0.1193,0.1445,0.1147,0.1637,0.1467,0.2223,0.1537,0.1956
menace-500-sym,0.1331,0.1331,0.1247,0.1595,0.1278,0.1959,0.1196,0.213,0.1645,0.2627,0.1644,0.2513
menace-1000,0.1171,0.1171,0.1212,0.1471,0.1235,0.1525,0.1125,0.1677,0.1531,0.2437,0.1623,0.2163
menace-1000-sym,0.1205,0.1205,0.1221,0.151,0.1242,0.1897,0.1145,0.2723,0.235,0.481,0.2948,0.4831
menace-10000,0.1124,0.1124,0.1215,0.1377,0.1174,0.1493,0.1148,0.2257,0.348,0.461,0.4521,0.4753
menace-10000-sym,0.1094,0.1094,0.1041,0.1335,0.1015,0.1892,0.1038,0.3449,0.5096,0.8346,0.6631,0.9197
menace-50000,0.0975,0.0975,0.1,0.1316,0.1089,0.1483,0.1037,0.2394,0.4122,0.6142,0.6675,0.6855
menace-50000-sym,0.0793,0.0793,0.0776,0.0945,0.0881,0.1298,0.0891,0.2696,0.5406,0.7376,0.6885,0.879
