,menace-0,menace-0-sym,menace-100,menace-100-sym,menace-500,menace-500-sym,menace-1000,menace-1000-sym,menace-10000,menace-10000-sym,menace-50000,menace-50000-sym
menace-0,0.4142,0.4142,0.4287,0.4784,0.46,0.6179,0.4744,0.702,0.7364,0.9019,0.8431,0.9497
menace-0-sym,0.4142,0.4142,0.4287,0.4784,0.46,0.6179,0.4744,0.702,0.7364,0.9019,0.8431,0.9497
menace-100,0.3982,0.3982,0.4139,0.4669,0.4481,0.5945,0.4532,0.68,0.7518,0.9018,0.8543,0.9425
menace-100-sym,0.4192,0.4192,0.4245,0.4816,0.4614,0.6423,0.4897,0.7301,0.7511,0.934,0.8456,0.9631
menace-500,0.3705,0.3705,0.3783,0.4285,0.4115,0.5646,0.4398,0.6406,0.759,0.8921,0.8738,0.9385
menace-500-sym,0.3599,0.3599,0.3591,0.3766,0.4006,0.4995,0.4196,0.6534,0.7175,0.9378,0.8172,0.967
menace-1000,0.3357,0.3357,0.3567,0.4047,0.3871,0.5357,0.4014,0.6136,0.7446,0.8766,0.8611,0.9331
menace-1000-sym,0.2893,0.2893,0.3074,0.2947,0.3318,0.3734,0.322,0.5303,0.7019,0.9501,0.832,0.9788
menace-10000,0.2621,0.2621,0.2728,0.3178,0.2779,0.4156,0.2868,0.5018,0.6882,0.841,0.867,0.9323
menace-10000-sym,0.1691,0.1691,0.1577,0.1804,0.1535,0.2399,0.1597,0.3918,0.5683,0.8888,0.7269,0.9729
menace-50000,0.1954,0.1954,0.1894,0.2673,0.202,0.3463,0.201,0.4363,0.5473,0.8387,0.8304,0.925
menace-50000-sym,0.1143,0.1143,0.1091,0.1178,0.1136,0.155,0.1178,0.2934,0.5603,0.7492,0.7055,0.8883
