,menace-0,menace-0-sym,menace-100,menace-100-sym,menace-500,menace-500-sym,menace-1000,menace-1000-sym,menace-10000,menace-10000-sym,menace-50000,menace-50000-sym
menace-0,0.2898,0.2898,0.3082,0.3302,0.343,0.465,0.3569,0.5432,0.6038,0.7075,0.7055,0.7629
menace-0-sym,0.2898,0.2898,0.3082,0.3302,0.343,0.465,0.3569,0.5432,0.6038,0.7075,0.7055,0.7629
menace-100,0.2691,0.2691,0.289,0.3139,0.328,0.4418,0.3338,0.5173,0.618,0.6978,0.7136,0.7461
menace-100-sym,0.2917,0.2917,0.3045,0.3266,0.3408,0.4781,0.3694,0.5593,0.6093,0.7425,0.7136,0.7862
menace-500,0.2481,0.2481,0.258,0.2869,0.2922,0.4201,0.3251,0.4769,0.6123,0.6698,0.7201,0.7429
menace-500-sym,0.2268,0.2268,0.2344,0.2171,0.2728,0.3036,0.3,0.4404,0.553,0.6751,0.6528,0.7157
menace-1000,0.2186,0.2186,0.2355,0.2576,0.2636,0.3832,0.2889,0.4459,0.5915,0.6329,0.6988,0.7168
menace-1000-sym,0.1688,0.1688,0.1853,0.1437,0.2076,0.1837,0.2075,0.258,0.4669,0.4691,0.5372,0.4957
menace-10000,0.1497,0.1497,0.1513,0.1801,0.1605,0.2663,0.172,0.2761,0.3402,0.38,0.4149,0.457
menace-10000-sym,0.0597,0.0597,0.0536,0.0469,0.052,0.0507,0.0559,0.0469,0.0587,0.0542,0.0638,0.0532
menace-50000,0.0979,0.0979,0.0894,0.1357,0.0931,0.198,0.0973,0.1969,0.1351,0.2245,0.1629,0.2395
menace-50000-sym,0.035,0.035,0.0315,0.0233,0.0255,0.0252,0.0287,0.0238,0.0197,0.0116,0.017,0.0093
