,menace-0,menace-0-sym,menace-100,menace-100-sym,menace-500,menace-500-sym,menace-1000,menace-1000-sym,menace-10000,menace-10000-sym,menace-50000,menace-50000-sym
menace-0,0.7102,0.7102,0.6918,0.6698,0.657,0.535,0.6431,0.4568,0.3962,0.2925,0.2945,0.2371
menace-0-sym,0.7102,0.7102,0.6918,0.6698,0.657,0.535,0.6431,0.4568,0.3962,0.2925,0.2945,0.2371
menace-100,0.7309,0.7309,0.711,0.6861,0.672,0.5582,0.6662,0.4827,0.382,0.3022,0.2864,0.2539
menace-100-sym,0.7083,0.7083,0.6955,0.6734,0.6592,0.5219,0.6306,0.4407,0.3907,0.2575,0.2864,0.2138
menace-500,0.7519,0.7519,0.742,0.7131,0.7078,0.5799,0.6749,0.5231,0.3877,0.3302,0.2799,0.2571
menace-500-sym,0.7732,0.7732,0.7656,0.7829,0.7272,0.6964,0.7,0.5596,0.447,0.3249,0.3472,0.2843
menace-1000,0.7814,0.7814,0.7645,0.7424,0.7364,0.6168,0.7111,0.5541,0.4085,0.3671,0.3012,0.2832
menace-1000-sym,0.8312,0.8312,0.8147,0.8563,0.7924,0.8163,0.7925,0.742,0.5331,0.5309,0.4628,0.5043
menace-10000,0.8503,0.8503,0.8487,0.8199,0.8395,0.7337,0.828,0.7239,0.6598,0.62,0.5851,0.543
menace-10000-sym,0.9403,0.9403,0.9464,0.9531,0.948,0.9493,0.9441,0.9531,0.9413,0.9458,0.9362,0.9468
menace-50000,0.9021,0.9021,0.9106,0.8643,0.9069,0.802,0.9027,0.8031,0.8649,0.7755,0.8371,0.7605
menace-50000-sym,0.965,0.965,0.9685,0.9767,0.9745,0.9748,0.9713,0.9762,0.9803,0.9884,0.983,0.9907
