,menace-0,menace-0-sym,menace-100,menace-100-sym,menace-500,menace-500-sym,menace-1000,menace-1000-sym,menace-10000,menace-10000-sym,menace-50000,menace-50000-sym
menace-0,0.5858,0.5858,0.5713,0.5216,0.54,0.3821,0.5256,0.298,0.2636,0.0981,0.1569,0.0503
menace-0-sym,0.5858,0.5858,0.5713,0.5216,0.54,0.3821,0.5256,0.298,0.2636,0.0981,0.1569,0.0503
menace-100,0.6018,0.6018,0.5861,0.5331,0.5519,0.4055,0.5468,0.32,0.2482,0.0982,0.1457,0.0575
menace-100-sym,0.5808,0.5808,0.5755,0.5184,0.5386,0.3577,0.5103,0.2699,0.2489,0.066,0.1544,0.0369
menace-500,0.6295,0.6295,0.6217,0.5715,0.5885,0.4354,0.5602,0.3594,0.241,0.1079,0.1262,0.0615
menace-500-sym,0.6401,0.6401,0.6409,0.6234,0.5994,0.5005,0.5804,0.3466,0.2825,0.0622,0.1828,0.033
menace-1000,0.6643,0.6643,0.6433,0.5953,0.6129,0.4643,0.5986,0.3864,0.2554,0.1234,0.1389,0.0669
menace-1000-sym,0.7107,0.7107,0.6926,0.7053,0.6682,0.6266,0.678,0.4697,0.2981,0.0499,0.168,0.0212
menace-10000,0.7379,0.7379,0.7272,0.6822,0.7221,0.5844,0.7132,0.4982,0.3118,0.159,0.133,0.0677
menace-10000-sym,0.8309,0.8309,0.8423,0.8196,0.8465,0.7601,0.8403,0.6082,0.4317,0.1112,0.2731,0.0271
menace-50000,0.8046,0.8046,0.8106,0.7327,0.798,0.6537,0.799,0.5637,0.4527,0.1613,0.1696,0.075
menace-50000-sym,0.8857,0.8857,0.8909,0.8822,0.8864,0.845,0.8822,0.7066,0.4397,0.2508,0.2945,0.1117
